		self	friend	interest	mutual
8733637@N04	32528180@N00	0	False	0.005122367672168469	False
8733637@N04	145400672@N02	0	False	0.020246913580246915	False
8733637@N04	11625451@N02	0	False	0.0038363171355498722	False
8733637@N04	46956042@N00	0	False	0.001985440105890139	False
8733637@N04	158121167@N08	0	False	0	False
8733637@N04	192219525@N04	0	False	0	False
8733637@N04	96667746@N04	0	False	0.002324230098779779	False
8733637@N04	96231201@N00	0	False	0	False
8733637@N04	149908335@N04	0	False	0.008755472170106316	False
8733637@N04	142083289@N03	0	False	0.00665983606557377	False
8733637@N04	35291716@N07	0	False	0.0038910505836575876	False
8733637@N04	190590734@N02	0	False	0.010139416983523447	False
8733637@N04	126761589@N05	0	False	0.0013504388926401081	False
8733637@N04	105465854@N05	0	False	0.0006775067750677507	False
8733637@N04	189387901@N05	0	True	0.024231678486997636	False
8733637@N04	7633518@N08	0	False	0.019166019166019167	False
8733637@N04	74411818@N00	0	True	0.01891891891891892	False
8733637@N04	136548402@N04	0	False	0.014431749849669273	False
8733637@N04	11537427@N04	0	False	0	False
8733637@N04	57224934@N00	0	False	0.0006523157208088715	False
8733637@N04	41903084@N07	0	False	0.0017241379310344827	False
8733637@N04	66352243@N06	0	False	0	False
8733637@N04	38903989@N02	0	False	0	False
8733637@N04	161392673@N02	0	False	0.029076186970923814	False
8733637@N04	100273202@N05	0	False	0	False
8733637@N04	45161324@N04	0	False	0	False
8733637@N04	165883554@N04	0	False	0.0038461538461538464	False
8733637@N04	40165750@N06	0	False	0.0006706908115358819	False
8733637@N04	26181074@N02	0	False	0.0013315579227696406	False
8733637@N04	40594945@N08	0	False	0	False
8733637@N04	10485938@N00	0	False	0.025728987993138937	False
8733637@N04	109522904@N02	0	False	0.004005340453938585	False
8733637@N04	93936890@N02	0	False	0.008356545961002786	False
8733637@N04	192350478@N02	0	False	0.01621271076523995	False
8733637@N04	37896751@N04	0	False	0	False
8733637@N04	21729884@N02	0	False	0.0038910505836575876	False
8733637@N04	20395737@N02	0	False	0.0032938076416337285	False
8733637@N04	7243324@N03	0	False	0.001951854261548471	False
8733637@N04	7132768@N03	0	False	0.009416195856873822	False
8733637@N04	78239672@N00	0	False	0.004554655870445344	False
