	Source	Target	Group_Name	18+	Members	Pool_Counts
260	44934278@N04	1577586@N22	NEX + CONTAX G	0	198	1546
261	44934278@N04	1567195@N24	Night Photography Group	0	13349	275159
262	44934278@N04	47243595@N00	Night Shot	0	12409	287241
263	44934278@N04	1091479@N22	Night Street Photography	0	6512	38667
264	44934278@N04	69839943@N00	Old And Beautiful (buildings ,barns, shacks, and abandoned homes	0	11919	257404
265	44934278@N04	98656991@N00	Palaces, Castles, Towers, Pagodas, Fortresses And Ruins of Old	0	12634	239281
266	44934278@N04	24528578@N00	PLANT [directory] 植物	0	16905	359109
267	44934278@N04	11561829@N00	Product Photography	0	10750	98333
268	44934278@N04	1878152@N20	PURE color and shape	0	1647	17982
269	44934278@N04	65499163@N00	Rollei	0	938	29542
270	44934278@N04	75316363@N00	Rollei  users	0	2036	56297
271	44934278@N04	90899514@N00	Sculpture	0	11966	320149
272	44934278@N04	88373672@N00	Sigmund Freud	0	189	4781
273	44934278@N04	1029345@N23	Simple nature *CLOSED*	0	1092	21873
274	44934278@N04	14121873@N00	Skylines around the world	0	6765	113260
275	44934278@N04	2798388@N23	Sony A7 Mark II (A7II)	0	6509	132445
276	44934278@N04	2761193@N21	SONY A7II (ILCE-7M2)	0	2830	134257
277	44934278@N04	2335287@N24	SONY Alpha A7, A7r, A7S, A7 II &amp; A7r II	0	7661	339477
278	44934278@N04	2944301@N23	SONY FE 24-105mm F4 G OSS	0	2481	27788
279	44934278@N04	2489989@N22	Sony Sonnar T* FE 55MM F/1.8 Zeiss lens	0	7475	58604
280	44934278@N04	958159@N24	Still Life Photography	0	12827	190007
281	44934278@N04	579254@N21	Still Life photography / Natureza Morta	0	4584	55118
282	44934278@N04	30046297@N00	Succulents!	0	2486	38495
283	44934278@N04	57342295@N00	Temples,Shrines &amp; Castles of Japan. ( + Deities) 日本	0	6800	130807
284	44934278@N04	332546@N25	The Ultimate Dessert Flickr Group	0	1944	38915
285	44934278@N04	14049426@N00	URBAN	0	16716	816387
286	44934278@N04	52241627890@N01	Urban Decay	0	34448	574608
287	44934278@N04	37628493@N00	Urban Exploration - Exploring Abandonments	0	12606	374502
288	44934278@N04	12931650@N00	Urbex :: Urban Exploration	0	12712	413778
289	44934278@N04	2653545@N23	Urbex around the world	0	1893	103408
290	44934278@N04	35468150638@N01	Vienna	0	6179	133406
291	44934278@N04	51035603760@N01	Voigtlander	0	6106	195604
292	44934278@N04	4162920@N21	Voigtländer 40/1.2 Nokton	0	556	4381
293	44934278@N04	1789210@N24	VSCO Film	0	8343	198954
294	44934278@N04	2494528@N21	WALKING LANDSCAPES	0	4224	201560
295	44934278@N04	497397@N20	White/Black	0	61415	1803246
296	44934278@N04	74496825@N00	winter landscapes	0	16423	232885
297	44934278@N04	33737930@N00	Woods &amp; Forests	0	15698	305897
298	44934278@N04	27419242@N00	Xinjiang	0	352	7620
299	44934278@N04	88814412@N00	YummY YummY	0	6613	210907
300	44934278@N04	3414484@N23	YᑌᗰᗰY	0	2907	140418
301	44934278@N04	2863383@N24	Zeiss Loxia 2.8/21	0	589	4805
302	44934278@N04	64788317@N00	~*~Atmosphere~*~	0	11480	549648
303	44934278@N04	666436@N21	¡Bokeh!	0	5258	163957
304	44934278@N04	83292375@N00	α - Sony Alpha Cameras	0	24636	1245481
305	44934278@N04	51035786673@N01	上海 Shanghai	0	6923	148909
306	44934278@N04	492143@N22	中华 Flickr 摄友会 / Chinese Flickr Photographer	0	6644	346771
307	44934278@N04	19672435@N00	弄堂	0	117	7313
308	44934278@N04	808873@N24	我愛定焦頭 | I ♥ Prime Lens	0	4984	423050
309	44934278@N04	964544@N21	決定性瞬間 /  L'instant Decisif	0	1554	64051
310	25076731@N05	893024@N24	!*Flickr Award Group*! (GIVE 5 AWARDS)	0	97015	3292281
311	25076731@N05	71332142@N00	!Catchy Colors	0	210307	4750577
312	25076731@N05	86532877@N00	!Flickr Food &amp; Cuisine Around the world *none food pics will be	0	11310	315629
313	25076731@N05	44638112@N00	!HOT! Promotional Models	0	9622	69888
314	25076731@N05	49485636@N00	&quot;Ports, Harbours and Moorings&quot;	0	5733	169999
