		self	friend	interest	mutual
63829447@N04	132466470@N05	0	False	0.027777777777777776	False
63829447@N04	98489626@N02	0	False	0.027777777777777776	False
63829447@N04	95645163@N00	0	False	0	False
63829447@N04	159825286@N03	0	False	0	False
63829447@N04	145351882@N07	0	False	0	False
63829447@N04	142785662@N04	0	False	0	False
63829447@N04	79721788@N00	0	False	0.00546448087431694	False
63829447@N04	91698536@N04	0	False	0	False
63829447@N04	145667897@N08	0	False	0	False
63829447@N04	152311060@N02	0	False	0	False
63829447@N04	147141688@N03	0	False	0	False
63829447@N04	15047208@N00	0	False	0.046511627906976744	False
193769199@N05	57210421@N04	0	False	0	False
193769199@N05	193578629@N05	0	False	0	False
193769199@N05	63829447@N04	0	False	0	False
193769199@N05	193769199@N05	1	1	1	True
193769199@N05	149416284@N07	0	False	0	False
193769199@N05	193550492@N08	0	False	0	False
193769199@N05	37692771@N07	0	False	0	False
193769199@N05	8308954@N06	0	False	0	False
193769199@N05	44934278@N04	0	False	0	False
193769199@N05	25076731@N05	0	False	0	False
193769199@N05	190996938@N05	0	False	0	False
193769199@N05	167072352@N02	0	False	0	False
193769199@N05	185536361@N03	0	False	0	False
193769199@N05	188745550@N03	0	False	0	False
193769199@N05	186382833@N06	0	False	0	False
193769199@N05	117372933@N07	0	False	0	False
193769199@N05	168107408@N03	0	False	0	False
193769199@N05	40318098@N05	0	False	0	False
193769199@N05	185446477@N05	0	False	0	False
193769199@N05	61233856@N00	0	False	0	False
193769199@N05	7138083@N04	0	False	0	False
193769199@N05	30256305@N02	0	False	0	False
193769199@N05	97411860@N07	0	False	0	False
193769199@N05	99701047@N08	0	False	0	False
193769199@N05	151290294@N06	0	False	0	False
193769199@N05	102771077@N06	0	False	0	False
193769199@N05	47061356@N02	0	False	0	False
193769199@N05	120294361@N02	0	False	0	False
193769199@N05	155494195@N08	0	False	0	False
193769199@N05	153443196@N06	0	False	0	False
193769199@N05	36899213@N08	0	False	0	False
193769199@N05	44104611@N05	0	False	0	False
193769199@N05	11595106@N03	0	False	0	False
193769199@N05	98402793@N00	0	False	0	False
193769199@N05	75429645@N05	0	False	0	False
193769199@N05	89442637@N08	0	False	0	False
193769199@N05	158370200@N03	0	False	0	False
193769199@N05	133023063@N04	0	False	0	False
193769199@N05	45527691@N00	0	False	0	False
193769199@N05	11234156@N05	0	False	0	False
193769199@N05	157592834@N04	0	False	0	False
193769199@N05	106649870@N03	0	False	0	False
193769199@N05	53279392@N06	0	False	0	False
193769199@N05	90469716@N00	0	False	0	False
193769199@N05	55453048@N03	0	False	0	False
193769199@N05	18015995@N07	0	False	0	False
193769199@N05	124528896@N04	0	False	0	False
193769199@N05	104170763@N02	0	False	0	False
193769199@N05	30199947@N07	0	False	0	False
193769199@N05	136999683@N06	0	False	0	False
193769199@N05	160461094@N05	0	False	0	False
193769199@N05	91651135@N07	0	False	0	False
193769199@N05	26380940@N03	0	False	0	False
193769199@N05	44910505@N07	0	False	0	False
193769199@N05	49603119@N00	0	False	0	False
193769199@N05	136933004@N08	0	False	0	False
193769199@N05	99911502@N03	0	False	0	False
193769199@N05	7287512@N02	0	False	0	False
193769199@N05	8859561@N08	0	False	0	False
193769199@N05	64977817@N00	0	False	0	False
193769199@N05	32136054@N03	0	False	0	False
193769199@N05	128337749@N02	0	False	0	False
193769199@N05	10512012@N08	0	False	0	False
193769199@N05	90028379@N00	0	False	0	False
193769199@N05	127423136@N05	0	False	0	False
193769199@N05	59747042@N04	0	False	0	False
193769199@N05	50741374@N08	0	False	0	False
193769199@N05	58300999@N04	0	False	0	False
193769199@N05	15752424@N05	0	False	0	False
193769199@N05	125170622@N08	0	False	0	False
193769199@N05	61335904@N04	0	False	0	False
193769199@N05	158874384@N02	0	False	0	False
193769199@N05	134107008@N02	0	False	0	False
193769199@N05	28571579@N03	0	False	0	False
193769199@N05	145984540@N08	0	False	0	False
193769199@N05	117466885@N06	0	False	0	False
193769199@N05	57551150@N00	0	False	0	False
193769199@N05	100853339@N07	0	False	0	False
193769199@N05	50658691@N04	0	False	0	False
193769199@N05	100824081@N06	0	False	0	False
193769199@N05	13325044@N05	0	False	0	False
193769199@N05	73199446@N00	0	False	0	False
193769199@N05	90279016@N08	0	False	0	False
193769199@N05	132466470@N05	0	False	0	False
193769199@N05	98489626@N02	0	False	0	False
193769199@N05	95645163@N00	0	False	0	False
193769199@N05	159825286@N03	0	False	0	False
193769199@N05	145351882@N07	0	False	0	False
193769199@N05	142785662@N04	0	False	0	False
193769199@N05	79721788@N00	0	False	0	False
193769199@N05	91698536@N04	0	False	0	False
193769199@N05	145667897@N08	0	False	0	False
193769199@N05	152311060@N02	0	False	0	False
193769199@N05	147141688@N03	0	False	0	False
193769199@N05	15047208@N00	0	False	0	False
149416284@N07	57210421@N04	0	False	0	False
149416284@N07	193578629@N05	0	False	0	False
149416284@N07	63829447@N04	0	False	0	False
149416284@N07	193769199@N05	0	False	0	False
149416284@N07	149416284@N07	1	1	1	True
149416284@N07	193550492@N08	0	False	0	False
149416284@N07	37692771@N07	0	False	0	False
149416284@N07	8308954@N06	0	False	0	False
149416284@N07	44934278@N04	0	False	0	False
149416284@N07	25076731@N05	0	False	0	False
149416284@N07	190996938@N05	0	False	0	False
149416284@N07	167072352@N02	0	False	0	False
149416284@N07	185536361@N03	0	False	0	False
149416284@N07	188745550@N03	0	False	0	False
149416284@N07	186382833@N06	0	False	0	False
149416284@N07	117372933@N07	0	False	0	False
149416284@N07	168107408@N03	0	False	0	False
149416284@N07	40318098@N05	0	False	0	False
149416284@N07	185446477@N05	0	False	0	False
149416284@N07	61233856@N00	0	False	0	False
149416284@N07	7138083@N04	0	False	0	False
149416284@N07	30256305@N02	0	False	0	False
149416284@N07	97411860@N07	0	False	0	False
149416284@N07	99701047@N08	0	False	0	False
149416284@N07	151290294@N06	0	False	0	False
149416284@N07	102771077@N06	0	False	0	False
149416284@N07	47061356@N02	0	False	0	False
149416284@N07	120294361@N02	0	False	0	False
149416284@N07	155494195@N08	0	False	0	False
149416284@N07	153443196@N06	0	False	0	False
149416284@N07	36899213@N08	0	False	0	False
149416284@N07	44104611@N05	0	False	0	False
149416284@N07	11595106@N03	0	False	0	False
149416284@N07	98402793@N00	0	False	0	False
149416284@N07	75429645@N05	0	False	0	False
149416284@N07	89442637@N08	0	False	0	False
149416284@N07	158370200@N03	0	False	0	False
149416284@N07	133023063@N04	0	False	0	False
149416284@N07	45527691@N00	0	False	0	False
149416284@N07	11234156@N05	0	False	0	False
149416284@N07	157592834@N04	0	False	0	False
149416284@N07	106649870@N03	0	False	0	False
149416284@N07	53279392@N06	0	False	0	False
149416284@N07	90469716@N00	0	False	0	False
149416284@N07	55453048@N03	0	False	0	False
149416284@N07	18015995@N07	0	False	0	False
149416284@N07	124528896@N04	0	False	0	False
149416284@N07	104170763@N02	0	False	0	False
149416284@N07	30199947@N07	0	False	0	False
149416284@N07	136999683@N06	0	False	0	False
149416284@N07	160461094@N05	0	False	0	False
149416284@N07	91651135@N07	0	False	0	False
149416284@N07	26380940@N03	0	False	0	False
149416284@N07	44910505@N07	0	False	0	False
149416284@N07	49603119@N00	0	False	0	False
149416284@N07	136933004@N08	0	False	0	False
149416284@N07	99911502@N03	0	False	0	False
149416284@N07	7287512@N02	0	False	0	False
149416284@N07	8859561@N08	0	False	0	False
149416284@N07	64977817@N00	0	False	0	False
149416284@N07	32136054@N03	0	False	0	False
149416284@N07	128337749@N02	0	False	0	False
149416284@N07	10512012@N08	0	False	0	False
149416284@N07	90028379@N00	0	False	0	False
149416284@N07	127423136@N05	0	False	0	False
149416284@N07	59747042@N04	0	False	0	False
149416284@N07	50741374@N08	0	False	0	False
149416284@N07	58300999@N04	0	False	0	False
149416284@N07	15752424@N05	0	False	0	False
149416284@N07	125170622@N08	0	False	0	False
149416284@N07	61335904@N04	0	False	0	False
149416284@N07	158874384@N02	0	False	0	False
149416284@N07	134107008@N02	0	False	0	False
149416284@N07	28571579@N03	0	False	0	False
149416284@N07	145984540@N08	0	False	0	False
149416284@N07	117466885@N06	0	False	0	False
149416284@N07	57551150@N00	0	False	0	False
149416284@N07	100853339@N07	0	False	0	False
149416284@N07	50658691@N04	0	False	0	False
149416284@N07	100824081@N06	0	False	0	False
149416284@N07	13325044@N05	0	False	0	False
149416284@N07	73199446@N00	0	False	0	False
149416284@N07	90279016@N08	0	False	0	False
149416284@N07	132466470@N05	0	False	0	False
149416284@N07	98489626@N02	0	False	0	False
149416284@N07	95645163@N00	0	False	0	False
149416284@N07	159825286@N03	0	False	0	False
149416284@N07	145351882@N07	0	False	0	False
149416284@N07	142785662@N04	0	False	0	False
149416284@N07	79721788@N00	0	False	0	False
149416284@N07	91698536@N04	0	False	0	False
149416284@N07	145667897@N08	0	False	0	False
149416284@N07	152311060@N02	0	False	0	False
149416284@N07	147141688@N03	0	False	0	False
149416284@N07	15047208@N00	0	False	0	False
193550492@N08	57210421@N04	0	False	0	False
193550492@N08	193578629@N05	0	False	0	False
193550492@N08	63829447@N04	0	False	0	False
193550492@N08	193769199@N05	0	False	0	False
193550492@N08	149416284@N07	0	False	0	False
193550492@N08	193550492@N08	1	1	1	True
193550492@N08	37692771@N07	0	False	0	False
193550492@N08	8308954@N06	0	False	0	False
